character_skill_nodes_skill_locks_tables	0
character_skill	character_skill_node	level
aacdlordrune1	wh_main_skill_node_chs_warrhak_skullcrusher_unique_112	1
aacdlordrune1	wh_main_skill_node_chs_warrhak_skullcrusher_unique_113	1
aacdlordrune1	wh_main_skill_node_chs_warrhak_skullcrusher_unique_114	1
aacdlordrune2	wh_main_skill_node_chs_warrhak_skullcrusher_unique_111	1
aacdlordrune2	wh_main_skill_node_chs_warrhak_skullcrusher_unique_113	1
aacdlordrune2	wh_main_skill_node_chs_warrhak_skullcrusher_unique_114	1
aacdlordrune3	wh_main_skill_node_chs_warrhak_skullcrusher_unique_111	1
aacdlordrune3	wh_main_skill_node_chs_warrhak_skullcrusher_unique_112	1
aacdlordrune3	wh_main_skill_node_chs_warrhak_skullcrusher_unique_114	1
aacdlordrune4	wh_main_skill_node_chs_warrhak_skullcrusher_unique_111	1
aacdlordrune4	wh_main_skill_node_chs_warrhak_skullcrusher_unique_112	1
aacdlordrune4	wh_main_skill_node_chs_warrhak_skullcrusher_unique_113	1
