campaign_group_member_criteria_subcultures_tables	0
member	subculture
DLC11_diplomacy_Subcult_VFA_Female_TheTerrorsOfTheDarkStraits_&_OtherFactionChaos	wh_main_sc_nor_warp
DLC11_diplomacy_Subcult_VFA_Female_TheTerrorsOfTheDarkStraits_&_OtherFactionChaos_&_Negative	wh_main_sc_nor_warp
DLC11_diplomacy_Subcult_VFA_Female_TheTerrorsOfTheDarkStraits_&_OtherFactionChaos_&_Positive	wh_main_sc_nor_warp
DLC11_diplomacy_Subcult_VampireCoast_&_OtherFactionChaos	wh_main_sc_nor_warp
DLC11_diplomacy_Subcult_VampireCoast_&_OtherFactionChaos_&_Negative	wh_main_sc_nor_warp
DLC11_diplomacy_Subcult_VampireCoast_&_OtherFactionChaos_&_Positive	wh_main_sc_nor_warp
diplomacy_FactionGroup_DE_Dreadlord2_Faction_CultofExcess_&_OtherFactionChaos	wh_main_sc_nor_warp
diplomacy_FactionGroup_DE_Dreadlord2_Faction_CultofExcess_&_OtherFactionChaos_&_Negative	wh_main_sc_nor_warp
diplomacy_FactionGroup_DE_Dreadlord2_Faction_CultofExcess_&_OtherFactionChaos_&_Positive	wh_main_sc_nor_warp
diplomacy_FactionGroup_DE_Dreadlord2_Faction_TheSunkenLandCorsairs_&_OtherFactionChaos	wh_main_sc_nor_warp
diplomacy_FactionGroup_DE_Dreadlord2_Faction_TheSunkenLandCorsairs_&_OtherFactionChaos_&_Negative	wh_main_sc_nor_warp
diplomacy_FactionGroup_DE_Dreadlord2_Faction_TheSunkenLandCorsairs_&_OtherFactionChaos_&_Positive	wh_main_sc_nor_warp
diplomacy_FactionGroup_DE_Dreadlord2_Faction_TheTyrantsOfTheBlackOcean_&_OtherFactionChaos	wh_main_sc_nor_warp
diplomacy_FactionGroup_DE_Dreadlord2_Faction_TheTyrantsOfTheBlackOcean_&_OtherFactionChaos_&_Negative	wh_main_sc_nor_warp
diplomacy_FactionGroup_DE_Dreadlord2_Faction_TheTyrantsOfTheBlackOcean_&_OtherFactionChaos_&_Positive	wh_main_sc_nor_warp
diplomacy_FactionGroup_DE_DreadlordFemale_Faction_ClarKarond_&_OtherFactionChaos	wh_main_sc_nor_warp
diplomacy_FactionGroup_DE_DreadlordFemale_Faction_ClarKarond_&_OtherFactionChaos_&_Negative	wh_main_sc_nor_warp
diplomacy_FactionGroup_DE_DreadlordFemale_Faction_ClarKarond_&_OtherFactionChaos_&_Positive	wh_main_sc_nor_warp
diplomacy_FactionGroup_DE_DreadlordFemale_Faction_KarondKar_&_OtherFactionChaos	wh_main_sc_nor_warp
diplomacy_FactionGroup_DE_DreadlordFemale_Faction_KarondKar_&_OtherFactionChaos_&_Negative	wh_main_sc_nor_warp
diplomacy_FactionGroup_DE_DreadlordFemale_Faction_KarondKar_&_OtherFactionChaos_&_Positive	wh_main_sc_nor_warp
diplomacy_FactionGroup_DE_DreadlordFemale_Faction_SsildraTor_&_OtherFactionChaos	wh_main_sc_nor_warp
diplomacy_FactionGroup_DE_DreadlordFemale_Faction_SsildraTor_&_OtherFactionChaos_&_Negative	wh_main_sc_nor_warp
diplomacy_FactionGroup_DE_DreadlordFemale_Faction_SsildraTor_&_OtherFactionChaos_&_Positive	wh_main_sc_nor_warp
diplomacy_FactionGroup_DE_DreadlordFemale_Faction_TheForgebound_&_OtherFactionChaos	wh_main_sc_nor_warp
diplomacy_FactionGroup_DE_DreadlordFemale_Faction_TheForgebound_&_OtherFactionChaos_&_Negative	wh_main_sc_nor_warp
diplomacy_FactionGroup_DE_DreadlordFemale_Faction_TheForgebound_&_OtherFactionChaos_&_Positive	wh_main_sc_nor_warp
diplomacy_FactionGroup_HE_Prince2_Faction_Chrace_&_OtherFactionChaos	wh_main_sc_nor_warp
diplomacy_FactionGroup_HE_Prince2_Faction_Chrace_&_OtherFactionChaos_&_Negative	wh_main_sc_nor_warp
diplomacy_FactionGroup_HE_Prince2_Faction_Chrace_&_OtherFactionChaos_&_Positive	wh_main_sc_nor_warp
diplomacy_FactionGroup_HE_Prince2_Faction_CitadelofDusk_&_OtherFactionChaos	wh_main_sc_nor_warp
