building_chain	building_level	building_set	exclude
#building_set_to_building_junctions_tables;0;db/building_set_to_building_junctions_tables/!!!!ovn_nor_outpost_expansion			
ovn_chorfs_resource_building_amber		wh2_main_set_resource	false
ovn_chorfs_resource_building_animals		wh2_main_set_resource	false
ovn_chorfs_resource_building_furs		wh2_main_set_resource	false
ovn_chorfs_resource_building_gems		wh2_main_set_resource	false
ovn_chorfs_resource_building_gold		wh2_main_set_resource	false
ovn_chorfs_resource_building_iron		wh2_main_set_resource	false
ovn_chorfs_resource_building_medicine		wh2_main_set_resource	false
ovn_chorfs_resource_building_obsidian		wh2_main_set_resource	false
ovn_chorfs_resource_building_pottery		wh2_main_set_resource	false
ovn_chorfs_resource_building_salt		wh2_main_set_resource	false
ovn_chorfs_resource_building_timber		wh2_main_set_resource	false
ovn_cd_boss		wh_main_set_norsca_military_recruitment	false
ovn_cd_Walls		wh_main_set_norsca_defence	false
ovn_cd_heroes		wh_main_set_norsca_military_support	false
