frontend_faction_effect_junctions_tables	1
effect	group	value	scope
wh2_dlc10_effect_force_all_campaign_captives	ovn_chorf	10	faction_to_province_own_unseen
wh2_main_effect_slave_decline_modifier	ovn_chorf	-10	faction_to_province_own_unseen
wh2_main_effect_slave_income_modifier	ovn_chorf	15	faction_to_province_own_unseen
wh2_dlc09_faction_political_diplomacy_mod	ovn_chorf	-50	faction_to_faction_own_unseen
wh_main_effect_force_all_campaign_raid_income	ovn_chorf	15	faction_to_force_own_unseen
wh_main_effect_ability_enable_potion_of_toughness	ovn_chorf_lord	1	character_to_character_own
wh_main_effect_force_army_battle_enemy_unit_morale	ovn_chorf_lord	-5	general_to_force_enemy_regionwide
wh2_dlc13_effect_ability_shatter	ovn_chorf_lord	1	character_to_character_own
wh_main_effect_unit_enable_attribute_fear	ovn_chorf_lord	1	character_to_character_own
ovn_chorfs_no_hobgoblin_lord_upkeep	ovn_chorf	1	faction_to_faction_own_unseen
wh2_dlc10_skills_diplomacy_bonus_dwarfs	ovn_chorf	-200	faction_to_faction_own_unseen
