Loc PackedFile	1
key	text	tooltip
building_chains_chain_tooltip_ovn_chorf_military	Dwarfen Barracks	true
building_chains_chain_tooltip_ovn_chorf_stables	Hobgoblin Encampment	true
building_chains_chain_tooltip_ovn_chorf_creatures	Beasts & Monsters	true
building_chains_chain_tooltip_ovn_chorf_workshop	Hellbound Workshop	true
building_chains_chain_tooltip_ovn_chorf_agent	Corrupted Shrine	true
building_chains_chain_tooltip_ovn_chorf_experience	Proving Grounds	true
building_chains_chain_tooltip_ovn_chorf_slaves	Slave Mines	true
building_chains_chain_tooltip_ovn_chorf_worship	Temple of Hashut	true
building_chains_chain_tooltip_ovn_chorf_loot	Tainted Treasure	true
building_chains_chain_tooltip_ovn_cd_Walls	Walls	true
