building_upgrades_junction_tables	0
from	to
ovn_emp_fort_ruin	ovn_emp_fort_1
ovn_emp_fort_1	ovn_emp_fort_2
ovn_emp_fort_2	ovn_emp_fort_3
ovn_emp_fort_3	ovn_emp_fort_4
ovn_emp_fort_4	ovn_emp_fort_5
ovn_elf_gate_eagle_ruin	ovn_elf_gate_eagle_1
ovn_elf_gate_eagle_1	ovn_elf_gate_eagle_2
ovn_elf_gate_eagle_2	ovn_elf_gate_eagle_3
ovn_elf_gate_eagle_3	ovn_elf_gate_eagle_4
ovn_elf_gate_eagle_4	ovn_elf_gate_eagle_5
ovn_elf_gate_griffon_ruin	ovn_elf_gate_griffon_1
ovn_elf_gate_griffon_1	ovn_elf_gate_griffon_2
ovn_elf_gate_griffon_2	ovn_elf_gate_griffon_3
ovn_elf_gate_griffon_3	ovn_elf_gate_griffon_4
ovn_elf_gate_griffon_4	ovn_elf_gate_griffon_5
ovn_elf_gate_phoenix_ruin	ovn_elf_gate_phoenix_1
ovn_elf_gate_phoenix_1	ovn_elf_gate_phoenix_2
ovn_elf_gate_phoenix_2	ovn_elf_gate_phoenix_3
ovn_elf_gate_phoenix_3	ovn_elf_gate_phoenix_4
ovn_elf_gate_phoenix_4	ovn_elf_gate_phoenix_5
ovn_elf_gate_unicorn_ruin	ovn_elf_gate_unicorn_1
ovn_elf_gate_unicorn_1	ovn_elf_gate_unicorn_2
ovn_elf_gate_unicorn_2	ovn_elf_gate_unicorn_3
ovn_elf_gate_unicorn_3	ovn_elf_gate_unicorn_4
ovn_elf_gate_unicorn_4	ovn_elf_gate_unicorn_5
wh2_main_special_lothern_port_norsca_1	wh2_main_special_lothern_port_norsca_2
wh2_main_special_lothern_port_norsca_2	wh2_main_special_lothern_port_norsca_3
wh_dlc08_special_marienburg_port_norsca_1	wh_dlc08_special_marienburg_port_norsca_2
wh_dlc08_special_marienburg_port_norsca_2	wh_dlc08_special_marienburg_port_norsca_3
wh_dlc08_special_bordeleaux_port_norsca_1	wh_dlc08_special_bordeleaux_port_norsca_2
wh_dlc08_special_bordeleaux_port_norsca_2	wh_dlc08_special_bordeleaux_port_norsca_3
wh_dlc08_special_erengrad_port_norsca_1	wh_dlc08_special_erengrad_port_norsca_2
wh_dlc08_special_erengrad_port_norsca_2	wh_dlc08_special_erengrad_port_norsca_3
ovn_resource_marble_1	ovn_resource_marble_2
ovn_resource_spices_1	ovn_resource_spices_2
ovn_resource_dyes_1	ovn_resource_dyes_2
ovn_resource_pasture_1	ovn_resource_pasture_2
ovn_resource_wine_1	ovn_resource_wine_2
