building_chains_tables	6
key	tech_category_tab	encyclopedia_group	chain_category	in_encyclopedia	building_superchain	optional_tier_icon	optional_sort_order	optional_required_horde_commander
ovn_chorfs_resource_building_amber			money	false	ovn_chorfs_resource_building_amber		0	
ovn_chorfs_resource_building_animals			money	false	ovn_chorfs_resource_building_animals		0	
ovn_chorfs_resource_building_furs			money	false	ovn_chorfs_resource_building_furs		0	
ovn_chorfs_resource_building_gems			money	false	ovn_chorfs_resource_building_gems		0	
ovn_chorfs_resource_building_gold			money	false	ovn_chorfs_resource_building_gold		0	
ovn_chorfs_resource_building_iron			money	false	ovn_chorfs_resource_building_iron		0	
ovn_chorfs_resource_building_medicine			money	false	ovn_chorfs_resource_building_medicine		0	
ovn_chorfs_resource_building_obsidian			money	false	ovn_chorfs_resource_building_obsidian		0	
ovn_chorfs_resource_building_pottery			money	false	ovn_chorfs_resource_building_pottery		0	
ovn_chorfs_resource_building_salt			money	false	ovn_chorfs_resource_building_salt		0	
ovn_chorfs_resource_building_timber			money	false	ovn_chorfs_resource_building_timber		0	
ovn_cd_boss			military	false	wh2_main_sch_military1_barracks		7	
ovn_cd_heroes			military	false	wh_main_sch_human_worship		7	
