building_units_allowed_tables	4
building	unit	xp	key	conditions	faction	enabled
wh2_dlc15_sch_special_settlement_massif_orcal_norscaruin_khorne	infernal_guard	0	453419732	0		false
wh2_dlc15_sch_special_settlement_massif_orcal_norscaruin_khorne	infernal_guard_great_weapons	0	453419733	0		false
wh2_dlc15_sch_special_settlement_massif_orcal_norscaruin_khorne	infernal_guard_deathmask_naphta	0	453419734	0		false
wh2_dlc15_sch_special_settlement_massif_orcal_norscaruin_nurgle	infernal_guard	0	453419735	0		false
wh2_dlc15_sch_special_settlement_massif_orcal_norscaruin_nurgle	infernal_guard_great_weapons	0	453419736	0		false
wh2_dlc15_sch_special_settlement_massif_orcal_norscaruin_nurgle	infernal_guard_deathmask_naphta	0	453419737	0		false
wh2_dlc15_sch_special_settlement_massif_orcal_norscaruin_slaanesh	infernal_guard	0	453419738	0		false
wh2_dlc15_sch_special_settlement_massif_orcal_norscaruin_slaanesh	infernal_guard_great_weapons	0	453419739	0		false
wh2_dlc15_sch_special_settlement_massif_orcal_norscaruin_slaanesh	infernal_guard_deathmask_naphta	0	453419740	0		false
wh2_dlc15_sch_special_settlement_massif_orcal_norscaruin_tzeentch	infernal_guard	0	453419741	0		false
wh2_dlc15_sch_special_settlement_massif_orcal_norscaruin_tzeentch	infernal_guard_great_weapons	0	453419742	0		false
wh2_dlc15_sch_special_settlement_massif_orcal_norscaruin_tzeentch	infernal_guard_deathmask_naphta	0	453419743	0		false
wh2_dlc15_sch_special_settlement_tor_yvresse_norscaruin_khorne	infernal_guard	0	453419744	0		false
wh2_dlc15_sch_special_settlement_tor_yvresse_norscaruin_khorne	infernal_guard_great_weapons	0	453419745	0		false
wh2_dlc15_sch_special_settlement_tor_yvresse_norscaruin_khorne	infernal_guard_deathmask_naphta	0	453419746	0		false
wh2_dlc15_sch_special_settlement_tor_yvresse_norscaruin_nurgle	infernal_guard	0	453419747	0		false
wh2_dlc15_sch_special_settlement_tor_yvresse_norscaruin_nurgle	infernal_guard_great_weapons	0	453419748	0		false
wh2_dlc15_sch_special_settlement_tor_yvresse_norscaruin_nurgle	infernal_guard_deathmask_naphta	0	453419749	0		false
wh2_dlc15_sch_special_settlement_tor_yvresse_norscaruin_slaanesh	infernal_guard	0	453419750	0		false
wh2_dlc15_sch_special_settlement_tor_yvresse_norscaruin_slaanesh	infernal_guard_great_weapons	0	453419751	0		false
wh2_dlc15_sch_special_settlement_tor_yvresse_norscaruin_slaanesh	infernal_guard_deathmask_naphta	0	453419752	0		false
wh2_dlc15_sch_special_settlement_tor_yvresse_norscaruin_tzeentch	infernal_guard	0	453419753	0		false
wh2_dlc15_sch_special_settlement_tor_yvresse_norscaruin_tzeentch	infernal_guard_great_weapons	0	453419754	0		false
wh2_dlc15_sch_special_settlement_tor_yvresse_norscaruin_tzeentch	infernal_guard_deathmask_naphta	0	453419755	0		false
wh2_dlc15_special_settlement_massif_orcal_norsca_1	infernal_guard	0	453419756	0		false
wh2_dlc15_special_settlement_massif_orcal_norsca_1	infernal_guard_great_weapons	0	453419757	0		false
wh2_dlc15_special_settlement_massif_orcal_norsca_1	infernal_guard_deathmask_naphta	0	453419758	0		false
wh2_dlc15_special_settlement_massif_orcal_norsca_2	infernal_guard	0	453419759	0		false
wh2_dlc15_special_settlement_massif_orcal_norsca_2	infernal_guard_great_weapons	0	453419760	0		false
wh2_dlc15_special_settlement_massif_orcal_norsca_2	infernal_guard_deathmask_naphta	0	453419761	0		false
wh2_dlc15_special_settlement_massif_orcal_norsca_3	infernal_guard	0	453419762	0		false
wh2_dlc15_special_settlement_massif_orcal_norsca_3	infernal_guard_great_weapons	0	453419763	0		false
wh2_dlc15_special_settlement_massif_orcal_norsca_3	infernal_guard_deathmask_naphta	0	453419764	0		false
wh2_dlc15_special_settlement_massif_orcal_norsca_4	infernal_guard	0	453419765	0		false
wh2_dlc15_special_settlement_massif_orcal_norsca_4	infernal_guard_great_weapons	0	453419766	0		false
wh2_dlc15_special_settlement_massif_orcal_norsca_4	infernal_guard_deathmask_naphta	0	453419767	0		false
wh2_dlc15_special_settlement_massif_orcal_norsca_5	infernal_guard	0	453419768	0		false
