id	building_superchain	slot_template
#slot_template_to_building_superchain_junctions_tables;0;db/slot_template_to_building_superchain_junctions_tables/!!!!ovn_nor_outpost_expansion		
35229385	ovn_chorfs_resource_building_amber	wh2_main_human_major_secondary_amber
28380692	ovn_chorfs_resource_building_amber	wh2_main_human_minor_secondary_amber
74980517	ovn_chorfs_resource_building_animals	wh2_dlc10_special_gaean_vale_secondary
82904374	ovn_chorfs_resource_building_animals	wh2_main_human_major_secondary_animals
43583703	ovn_chorfs_resource_building_animals	wh2_main_human_minor_secondary_animals
80092023	ovn_chorfs_resource_building_animals	wh2_main_special_caverns_of_sotek_secondary_ritual
66350371	ovn_chorfs_resource_building_animals	wh2_main_special_gaean_vale_secondary
41325829	ovn_chorfs_resource_building_animals	wh2_main_special_hellpit_secondary
85757404	ovn_chorfs_resource_building_animals	wh2_main_special_oyxl_minor_secondary
41687199	ovn_chorfs_resource_building_animals	wh2_main_special_oyxl_secondary
77996183	ovn_chorfs_resource_building_furs	wh2_main_special_tor_achare_secondary
62307106	ovn_chorfs_resource_building_furs	wh_dlc05_elf_major_secondary_furs
30899880	ovn_chorfs_resource_building_furs	wh_dlc05_elf_minor_secondary_furs
16908525	ovn_chorfs_resource_building_furs	wh_main_dwarf_orc_major_secondary_furs
43686174	ovn_chorfs_resource_building_furs	wh_main_dwarf_orc_minor_secondary_furs
40119234	ovn_chorfs_resource_building_furs	wh_main_human_major_secondary_furs
19445341	ovn_chorfs_resource_building_furs	wh_main_human_minor_secondary_furs
54064152	ovn_chorfs_resource_building_furs	wh_main_special_crag_halls_secondary
61789616	ovn_chorfs_resource_building_furs	wh_main_special_karak_norn_secondary
35181625	ovn_chorfs_resource_building_furs	wh_main_special_kislev_secondary
82017254	ovn_chorfs_resource_building_furs	wh_main_special_talabheim_secondary
23825073	ovn_chorfs_resource_building_gems	wh2_dlc09_special_bhagar_secondary
21950303	ovn_chorfs_resource_building_gems	wh2_main_human_major_secondary_gems
38003450	ovn_chorfs_resource_building_gems	wh2_main_human_minor_secondary_gems
74529272	ovn_chorfs_resource_building_gems	wh2_main_special_kraka_drak_secondary
29092438	ovn_chorfs_resource_building_gems	wh2_main_special_lahmia_secondary
69391704	ovn_chorfs_resource_building_gems	wh_main_dwarf_orc_major_secondary_gems
38355330	ovn_chorfs_resource_building_gems	wh_main_dwarf_orc_minor_secondary_gems
80715048	ovn_chorfs_resource_building_gems	wh_main_special_karak_azgal_secondary
43159627	ovn_chorfs_resource_building_gems	wh_main_special_karaz_a_karak_secondary
58634778	ovn_chorfs_resource_building_gold	wh2_main_special_ghrond_secondary
51513902	ovn_chorfs_resource_building_gold	wh2_main_special_ghrond_secondary_ritual
36899199	ovn_chorfs_resource_building_gold	wh2_main_special_hexoatl_secondary
91922826	ovn_chorfs_resource_building_gold	wh2_main_special_itza_secondary
26643567	ovn_chorfs_resource_building_gold	wh2_main_special_karak_zorn_secondary
43789528	ovn_chorfs_resource_building_gold	wh2_main_special_khemri_secondary
67999505	ovn_chorfs_resource_building_gold	wh2_main_special_tor_anroc_secondary
18662485	ovn_chorfs_resource_building_gold	wh2_main_vor_the_great_desert_bel_aliad_secondary_gold_ritual
55467070	ovn_chorfs_resource_building_gold	wh_dlc05_elf_major_secondary_gold
82199979	ovn_chorfs_resource_building_gold	wh_dlc05_elf_minor_secondary_gold
37613608	ovn_chorfs_resource_building_gold	wh_main_dwarf_orc_major_secondary_gold
22130394	ovn_chorfs_resource_building_gold	wh_main_dwarf_orc_minor_secondary_gold
47377536	ovn_chorfs_resource_building_gold	wh_main_human_major_secondary_gold
33834067	ovn_chorfs_resource_building_gold	wh_main_human_minor_secondary_gold
51552048	ovn_chorfs_resource_building_gold	wh_main_special_black_crag_secondary
41063482	ovn_chorfs_resource_building_gold	wh_main_special_castle_drakenhof_secondary
81109480	ovn_chorfs_resource_building_gold	wh_main_special_karak_ungor_secondary
12176354	ovn_chorfs_resource_building_gold	wh_main_special_mount_gunbad_secondary
69412057	ovn_chorfs_resource_building_iron	wh2_main_special_castle_drachenfels_secondary
58835179	ovn_chorfs_resource_building_iron	wh2_main_special_gor_gazan_secondary
77790189	ovn_chorfs_resource_building_iron	wh2_main_special_hef_vauls_anvil_secondary
16620014	ovn_chorfs_resource_building_iron	wh2_main_special_hef_vauls_anvil_secondary_ritual
56248787	ovn_chorfs_resource_building_iron	wh2_main_special_iron_rock_secondary
96961514	ovn_chorfs_resource_building_iron	wh2_main_special_xlanhuapec_secondary
58127233	ovn_chorfs_resource_building_iron	wh_dlc05_elf_major_secondary_iron
64753555	ovn_chorfs_resource_building_iron	wh_dlc05_elf_minor_secondary_iron
28213852	ovn_chorfs_resource_building_iron	wh_main_dwarf_orc_major_secondary_iron
61837708	ovn_chorfs_resource_building_iron	wh_main_dwarf_orc_minor_secondary_iron
56228693	ovn_chorfs_resource_building_iron	wh_main_human_major_secondary_iron
80703001	ovn_chorfs_resource_building_iron	wh_main_human_minor_secondary_iron
55228869	ovn_chorfs_resource_building_iron	wh_main_norsca_major_secondary_iron
17316913	ovn_chorfs_resource_building_iron	wh_main_norsca_minor_secondary_iron
55774552	ovn_chorfs_resource_building_iron	wh_main_special_karak_hirn_secondary
61755785	ovn_chorfs_resource_building_iron	wh_main_special_magritta_secondary
70138105	ovn_chorfs_resource_building_iron	wh_main_special_zhufbar_secondary
49885241	ovn_chorfs_resource_building_medicine	wh2_main_human_major_secondary_medicine
80352945	ovn_chorfs_resource_building_medicine	wh2_main_human_minor_secondary_medicine
88577183	ovn_chorfs_resource_building_medicine	wh2_main_special_chamber_of_visions_secondary
66531752	ovn_chorfs_resource_building_medicine	wh2_main_special_chamber_of_visions_secondary_ritual
19368024	ovn_chorfs_resource_building_medicine	wh2_main_special_yuatek_secondary
44327309	ovn_chorfs_resource_building_obsidian	wh2_main_human_major_secondary_obsidian
89663919	ovn_chorfs_resource_building_obsidian	wh2_main_human_minor_secondary_obsidian
96967648	ovn_chorfs_resource_building_obsidian	wh2_main_special_karag_orrud_secondary
11475725	ovn_chorfs_resource_building_obsidian	wh2_main_special_quintex_secondary
31235219	ovn_chorfs_resource_building_obsidian	wh2_main_special_star_tower_secondary
70696820	ovn_chorfs_resource_building_obsidian	wh2_main_vor_special_karak_orrud_secondary
63053547	ovn_chorfs_resource_building_obsidian	wh_main_norsca_major_secondary_obsidian
16438350	ovn_chorfs_resource_building_obsidian	wh_main_norsca_minor_secondary_obsidian
81594913	ovn_chorfs_resource_building_obsidian	wh_main_special_monolith_of_katam_secondary
16559941	ovn_chorfs_resource_building_pottery	wh2_dlc09_special_zandri_secondary
48184834	ovn_chorfs_resource_building_pottery	wh_main_special_altdorf_secondary
34754099	ovn_chorfs_resource_building_pottery	wh_main_special_couronne_secondary
26113983	ovn_chorfs_resource_building_pottery	wh_main_special_erengrad_secondary
62234696	ovn_chorfs_resource_building_pottery	wh_dlc05_elf_major_secondary_pottery
19019428	ovn_chorfs_resource_building_pottery	wh_dlc05_elf_minor_secondary_pottery
29175032	ovn_chorfs_resource_building_pottery	wh_main_human_major_secondary_pottery
40760785	ovn_chorfs_resource_building_pottery	wh_main_human_minor_secondary_pottery
19034131	ovn_chorfs_resource_building_salt	wh2_main_special_tor_koruali_secondary
48937267	ovn_chorfs_resource_building_salt	wh_dlc05_elf_major_secondary_salt
72484115	ovn_chorfs_resource_building_salt	wh_dlc05_elf_minor_secondary_salt
47861542	ovn_chorfs_resource_building_salt	wh_main_dwarf_orc_major_secondary_salt
79500206	ovn_chorfs_resource_building_salt	wh_main_dwarf_orc_minor_secondary_salt
31594318	ovn_chorfs_resource_building_salt	wh_main_human_major_secondary_salt
94633316	ovn_chorfs_resource_building_salt	wh_main_human_minor_secondary_salt
53403578	ovn_chorfs_resource_building_salt	wh_main_special_karak_azul_secondary
50807265	ovn_chorfs_resource_building_timber	wh2_main_special_axlotl_minor_secondary
