building_effects_junction_tables	3
building	effect	effect_scope	value	value_damaged	value_ruined
ovn_cd_kadrin	wh_main_effect_force_all_campaign_experience_base_all	province_to_province_own	2.0	2.0	0.0
ovn_cd_kadrin	wh_main_effect_religion_conversion_chaos	region_to_region_own	7.0	4.0	0.0
ovn_cd_kadrin	wh_main_effect_religion_osmosis_chaos	province_to_province_own	3.0	2.0	0.0
ovn_cd_karaz	wh_main_effect_religion_conversion_chaos	region_to_region_own	8.0	4.0	0.0
ovn_cd_karaz	wh_main_effect_religion_osmosis_chaos	province_to_province_own	5.0	2.0	0.0
ovn_cd_karaz	wh_main_effect_economy_gdp_mining	building_to_building_own	1500.0	500.0	0.0
ovn_cd_karaz	wh_main_faction_diplomacy_penalty_dwarfs	faction_to_faction_own_unseen	-100.0	-100.0	0.0
ovn_cd_varr	wh_main_effect_economy_gdp_mining	building_to_building_own	1200.0	500.0	0.0
ovn_cd_varr	wh_main_effect_economy_trade_good_commodity_mod	faction_to_faction_own	10.0	5.0	0.0
ovn_cd_varr	wh_main_effect_religion_conversion_chaos	region_to_region_own	5.0	2.0	0.0
ovn_cd_varr	wh2_main_effect_slave_decline_modifier	province_to_province_own	-50.0	-25.0	0.0
ovn_cd_varr	wh2_main_effect_economy_gdp_slaves_def	building_to_building_own	30.0	8.0	0.0
ovn_cd_varr	wh2_main_effect_slave_income_modifier	province_to_province_own	40.0	25.0	0.0
ovn_cd_varr	wh2_main_effect_slave_public_order_modifier	province_to_province_own	-30.0	-15.0	0.0
ovn_cd_varr	wh2_main_effect_force_army_campaign_attrition_storm_resistance	region_to_force_enemy	50.0	25.0	0.0
ovn_cd_azul	wh_main_effect_building_construction_cost_mod	province_to_region_own	-25.0	-12.0	0.0
ovn_cd_azul	wh_main_effect_force_all_campaign_recruitment_cost_all	region_to_force_own	-10.0	-5.0	0.0
ovn_cd_azul	wh_main_effect_economy_gdp_mining	building_to_building_own	300.0	100.0	0.0
ovn_cd_azul	wh_main_effect_force_all_campaign_experience_base_all	province_to_province_own	2.0	1.0	0.0
ovn_cd_azul	wh2_main_effect_force_own_campaign_movement_range	region_to_force_own	20.0	20.0	0.0
ovn_cd_peak	wh_main_effect_religion_osmosis_chaos	province_to_province_own	3.0	2.0	0.0
ovn_cd_peak	wh_main_effect_religion_conversion_chaos	region_to_region_own	5.0	2.0	0.0
ovn_cd_peak	wh_main_effect_economy_gdp_mining	building_to_building_own	250.0	100.0	0.0
ovn_cd_peak	wh_main_effect_force_army_campaign_upkeep_cost_artillery	faction_to_force_own	-8.0	-3.0	0.0
ovn_cd_peak	wh_main_effect_force_army_campaign_recruitment_cost_artillery	faction_to_force_own	-15.0	-15.0	0.0
ovn_cd_black	wh_main_effect_religion_conversion_chaos	region_to_region_own	5.0	2.0	0.0
ovn_cd_black	wh_main_effect_economy_gdp_mining	building_to_building_own	300.0	100.0	0.0
ovn_cd_black	wh_main_effect_force_army_campaign_experience_base_infantry	province_to_province_own	3.0	2.0	0.0
ovn_cd_black	wh_main_effect_force_all_campaign_upkeep	force_to_force_own	-5.0	-3.0	0.0
ovn_cd_black	wh_main_effect_force_all_campaign_recruitment_cost_all	region_to_force_own	-10.0	-5.0	0.0
ovn_cd_black	wh_main_effect_province_growth_building	region_to_province_own	30.0	10.0	0.0
ovn_cd_karaz	wh_dlc06_effect_enable_magic_attacks_building	building_to_force_own_provincewide_unseen	1.0	1.0	0.0
ovn_cd_karaz	wh_dlc06_effect_enable_magic_attacks_building_hidden	building_to_force_own_in_adjacent_province_unseen	1.0	1.0	0.0
