building	effect	effect_scope	value	value_damaged	value_ruined
#building_effects_junction_tables;3;db/building_effects_junction_tables/!!!!walls					
ovn_cd_Walls_3	wh_main_effect_textonly_walls	region_to_region_own	1.0	1.0	1.0
ovn_cd_Walls_3	wh_main_effect_settlement_walls_hidden	region_to_region_own	1.0	1.0	1.0
ovn_cd_Walls_1	wh_main_effect_textonly_walls	region_to_region_own	1.0	1.0	1.0
ovn_cd_Walls_1	wh_main_effect_settlement_walls_hidden	region_to_region_own	1.0	1.0	1.0
ovn_cd_Walls_2	wh_main_effect_textonly_walls	region_to_region_own	1.0	1.0	1.0
ovn_cd_Walls_2	wh_main_effect_settlement_walls_hidden	region_to_region_own	1.0	1.0	1.0
ovn_cd_Walls_1	wh_main_effect_tower_projectile_dwf_2	region_to_region_own	2.0	2.0	2.0
ovn_cd_Walls_2	wh_main_effect_tower_projectile_dwf_3	region_to_region_own	3.0	3.0	3.0
ovn_cd_Walls_3	wh_main_effect_tower_projectile_dwf_4	region_to_region_own	4.0	4.0	4.0
ovn_cd_Walls_1	wh_main_effect_force_army_battle_unit_melee_defence_siege_defence	region_to_force_own	4.0	4.0	0.0
ovn_cd_Walls_1	wh_main_effect_force_army_battle_unit_morale_siege_defence	region_to_force_own	2.0	2.0	0.0
ovn_cd_Walls_2	wh_main_effect_force_army_battle_unit_melee_defence_siege_defence	region_to_force_own	7.0	7.0	0.0
ovn_cd_Walls_2	wh_main_effect_force_army_battle_unit_morale_siege_defence	region_to_force_own	4.0	4.0	0.0
ovn_cd_Walls_3	wh_main_effect_force_army_battle_unit_melee_defence_siege_defence	region_to_force_own	10.0	10.0	0.0
ovn_cd_Walls_3	wh_main_effect_force_army_battle_unit_morale_siege_defence	region_to_force_own	6.0	6.0	0.0
