ancillary	subculture
#ancillary_included_subcultures_tables;0;db/ancillary_included_subcultures_tables/ovn_chorf	
wh_main_anc_drazsceprte_ll1	wh_main_sc_nor_warp
wh_main_anc_drazcrucib_ll1	wh_main_sc_nor_warp
wh_main_anc_rykarmour_ll1	wh_main_sc_nor_warp
wh_main_anc_rykamulet_ll1	wh_main_sc_nor_warp
wh_main_anc_zhathammer_ll1	wh_main_sc_nor_warp
wh_main_anc_zhatarmour_ll1	wh_main_sc_nor_warp
wh_main_anc_mount_chs_hobgoblin_khan_wolf	wh_main_sc_nor_warp
er_anc_mount_chd_dwarf_lord_shadow_statue_0	wh_main_sc_nor_warp
er_anc_mount_chd_dwarf_lord_shadow_statue_1	wh_main_sc_nor_warp
er_anc_mount_chd_dwarf_lord_shadow_statue_2	wh_main_sc_nor_warp
er_anc_mount_chd_dwarf_sorcerer_death_statue_0	wh_main_sc_nor_warp
er_anc_mount_chd_dwarf_sorcerer_death_statue_1	wh_main_sc_nor_warp
er_anc_mount_chd_dwarf_sorcerer_death_statue_2	wh_main_sc_nor_warp
er_anc_mount_chd_dwarf_sorcerer_fire_statue_0	wh_main_sc_nor_warp
er_anc_mount_chd_dwarf_sorcerer_fire_statue_1	wh_main_sc_nor_warp
er_anc_mount_chd_dwarf_sorcerer_fire_statue_2	wh_main_sc_nor_warp
er_anc_mount_chd_dwarf_sorcerer_metal_statue_0	wh_main_sc_nor_warp
er_anc_mount_chd_dwarf_sorcerer_metal_statue_1	wh_main_sc_nor_warp
er_anc_mount_chd_dwarf_sorcerer_metal_statue_2	wh_main_sc_nor_warp
