faction	stance
#campaign_stances_factions_junctions_tables;0;db/campaign_stances_factions_junctions_tables/ovn_chorf_stances	
wh2_main_ovn_chaos_dwarfs	MILITARY_FORCE_ACTIVE_STANCE_TYPE_SETTLE
wh2_main_ovn_chaos_dwarfs	MILITARY_FORCE_ACTIVE_STANCE_TYPE_AMBUSH
wh2_main_ovn_chaos_dwarfs	MILITARY_FORCE_ACTIVE_STANCE_TYPE_ASSEMBLE_FLEET
wh2_main_ovn_chaos_dwarfs	MILITARY_FORCE_ACTIVE_STANCE_TYPE_CHANNELING
wh2_main_ovn_chaos_dwarfs	MILITARY_FORCE_ACTIVE_STANCE_TYPE_DEFAULT
wh2_main_ovn_chaos_dwarfs	MILITARY_FORCE_ACTIVE_STANCE_TYPE_DOUBLE_TIME
wh2_main_ovn_chaos_dwarfs	MILITARY_FORCE_ACTIVE_STANCE_TYPE_MARCH
wh2_main_ovn_chaos_dwarfs	MILITARY_FORCE_ACTIVE_STANCE_TYPE_MUSTER
wh2_main_ovn_chaos_dwarfs	MILITARY_FORCE_ACTIVE_STANCE_TYPE_SET_CAMP_RAIDING
wh2_main_ovn_chaos_dwarfs	MILITARY_FORCE_ACTIVE_STANCE_TYPE_LAND_RAID
wh2_main_ovn_chaos_dwarfs	MILITARY_FORCE_ACTIVE_STANCE_TYPE_TUNNELING
