id	building_level	unit_group
#building_level_armed_citizenry_junctions_tables;1;db/building_level_armed_citizenry_junctions_tables/!ovn_cd_garrison		
26293077	ovn_cd_garrison_1	chaos_dwarf_warriors
114984177	ovn_cd_garrison_1	infernal_guard
329376611	ovn_cd_garrison_1	chaos_dwarf_warriors_rifles
911237037	ovn_cd_garrison_1	goblin_slaves
764952001	ovn_cd_garrison_1	orc_slaves
745924196	ovn_cd_garrison_2	chaos_dwarf_warriors
967281942	ovn_cd_garrison_2	chaos_dwarf_warriors
859561245	ovn_cd_garrison_2	chaos_dwarf_warriors_rifles
173633780	ovn_cd_garrison_2	chaos_dwarf_warriors_rifles
37384095	ovn_cd_garrison_2	goblin_slaves
248760775	ovn_cd_garrison_2	infernal_guard
792684998	ovn_cd_garrison_2	magma_cannon
