building	effect	effect_scope	value	value_damaged	value_ruined
#building_effects_junction_tables;3;db/building_effects_junction_tables/!!!!!new_main_chain_and_ports_CD					
ovn_nor_outpost_major_human_1_coast	wh_main_effect_construction_slot_dummy	this_building	1.0	1.0	1.0
ovn_nor_outpost_major_human_1_coast	wh_main_effect_economy_gdp_subsistance	building_to_building_own	80.0	40.0	0.0
ovn_nor_outpost_major_human_1_coast	wh_main_effect_force_army_campaign_siege_defend_holdout_time_hidden	region_to_region_own	2.0	2.0	2.0
ovn_nor_outpost_major_human_1_coast	wh_main_effect_province_growth_building	region_to_province_own	10.0	5.0	0.0
ovn_nor_outpost_major_human_1_coast	wh_main_effect_settlement_walls_hidden	region_to_region_own	1.0	1.0	1.0
ovn_nor_outpost_major_human_1	wh_main_effect_construction_slot_dummy	this_building	1.0	1.0	1.0
ovn_nor_outpost_major_human_1	wh_main_effect_economy_gdp_subsistance	building_to_building_own	80.0	40.0	0.0
ovn_nor_outpost_major_human_1	wh_main_effect_force_army_campaign_siege_defend_holdout_time_hidden	region_to_region_own	2.0	2.0	2.0
ovn_nor_outpost_major_human_1	wh_main_effect_province_growth_building	region_to_province_own	10.0	5.0	0.0
ovn_nor_outpost_major_human_1	wh_main_effect_settlement_walls_hidden	region_to_region_own	1.0	1.0	1.0
ovn_nor_outpost_major_human_2_coast	wh_main_effect_construction_slot_multiple_dummy	this_building	2.0	2.0	2.0
ovn_nor_outpost_major_human_2_coast	wh_main_effect_economy_gdp_subsistance	building_to_building_own	120.0	60.0	0.0
ovn_nor_outpost_major_human_2_coast	wh_main_effect_force_army_campaign_siege_defend_holdout_time_hidden	region_to_region_own	2.0	2.0	2.0
ovn_nor_outpost_major_human_2_coast	wh_main_effect_province_growth_building	region_to_province_own	20.0	10.0	0.0
ovn_nor_outpost_major_human_2_coast	wh_main_effect_settlement_walls_hidden	region_to_region_own	1.0	1.0	1.0
ovn_nor_outpost_major_human_2	wh_main_effect_construction_slot_multiple_dummy	this_building	2.0	2.0	2.0
ovn_nor_outpost_major_human_2	wh_main_effect_economy_gdp_subsistance	building_to_building_own	120.0	60.0	0.0
ovn_nor_outpost_major_human_2	wh_main_effect_force_army_campaign_siege_defend_holdout_time_hidden	region_to_region_own	2.0	2.0	2.0
ovn_nor_outpost_major_human_2	wh_main_effect_province_growth_building	region_to_province_own	20.0	10.0	0.0
ovn_nor_outpost_major_human_2	wh_main_effect_settlement_walls_hidden	region_to_region_own	1.0	1.0	1.0
ovn_nor_outpost_major_human_3_coast	wh_main_effect_construction_slot_multiple_dummy	this_building	3.0	3.0	3.0
ovn_nor_outpost_major_human_3_coast	wh_main_effect_economy_gdp_subsistance	building_to_building_own	160.0	80.0	0.0
ovn_nor_outpost_major_human_3_coast	wh_main_effect_force_army_campaign_siege_defend_holdout_time_hidden	region_to_region_own	2.0	2.0	2.0
ovn_nor_outpost_major_human_3_coast	wh_main_effect_province_growth_building	region_to_province_own	30.0	15.0	0.0
ovn_nor_outpost_major_human_3_coast	wh_main_effect_settlement_walls_hidden	region_to_region_own	1.0	1.0	1.0
ovn_nor_outpost_major_human_3	wh_main_effect_construction_slot_multiple_dummy	this_building	3.0	3.0	3.0
ovn_nor_outpost_major_human_3	wh_main_effect_economy_gdp_subsistance	building_to_building_own	160.0	80.0	0.0
ovn_nor_outpost_major_human_3	wh_main_effect_force_army_campaign_siege_defend_holdout_time_hidden	region_to_region_own	2.0	2.0	2.0
ovn_nor_outpost_major_human_3	wh_main_effect_province_growth_building	region_to_province_own	30.0	15.0	0.0
ovn_nor_outpost_major_human_3	wh_main_effect_settlement_walls_hidden	region_to_region_own	1.0	1.0	1.0
ovn_nor_outpost_major_human_2_coast	wh_main_effect_public_order_base	province_to_province_own	1.0	1.0	0.0
ovn_nor_outpost_major_human_2	wh_main_effect_public_order_base	province_to_province_own	1.0	1.0	0.0
ovn_nor_outpost_major_human_3_coast	wh_main_effect_public_order_base	province_to_province_own	2.0	1.0	0.0
ovn_nor_outpost_major_human_3	wh_main_effect_public_order_base	province_to_province_own	2.0	1.0	0.0
