from	to
#building_downgrade_junctions_tables;0;db/building_downgrade_junctions_tables/!!!!!new_main_chain_and_ports_cd	
ovn_nor_outpost_major_human_1	ovn_nor_outpost_major_human_1
ovn_nor_outpost_major_human_1_coast	ovn_nor_outpost_major_human_1_coast
ovn_nor_outpost_major_human_2	ovn_nor_outpost_major_human_2
ovn_nor_outpost_major_human_2_coast	ovn_nor_outpost_major_human_2_coast
ovn_nor_outpost_major_human_3	ovn_nor_outpost_major_human_3
ovn_nor_outpost_major_human_3_coast	ovn_nor_outpost_major_human_3_coast
ovn_nor_outpost_minor_human_1	ovn_nor_outpost_minor_human_1
ovn_nor_outpost_minor_human_1_coast	ovn_nor_outpost_minor_human_1_coast
ovn_nor_outpost_minor_human_2	ovn_nor_outpost_minor_human_2
ovn_nor_outpost_minor_human_2_coast	ovn_nor_outpost_minor_human_2_coast
ovn_nor_outpost_minor_human_3	ovn_nor_outpost_minor_human_3
ovn_nor_outpost_minor_human_3_coast	ovn_nor_outpost_minor_human_3_coast
ovn_nor_outpost_major_human_4_new	ovn_nor_outpost_major_human_4_new
ovn_nor_outpost_major_human_4_new_coast	ovn_nor_outpost_major_human_4_new_coast
ovn_nor_outpost_major_human_5_new	ovn_nor_outpost_major_human_5_new
ovn_nor_outpost_major_human_5_new_coast	ovn_nor_outpost_major_human_5_new_coast
ovn_wh2_dlc09_special_settlement_pyramid_of_nagash_norsca_1	ovn_wh2_dlc09_special_settlement_pyramid_of_nagash_norsca_1
ovn_wh2_dlc09_special_settlement_pyramid_of_nagash_norsca_2	ovn_wh2_dlc09_special_settlement_pyramid_of_nagash_norsca_2
ovn_wh2_dlc09_special_settlement_pyramid_of_nagash_norsca_3	ovn_wh2_dlc09_special_settlement_pyramid_of_nagash_norsca_3
ovn_wh2_dlc15_special_settlement_massif_orcal_norsca_1	ovn_wh2_dlc15_special_settlement_massif_orcal_norsca_1
ovn_wh2_dlc15_special_settlement_massif_orcal_norsca_2	ovn_wh2_dlc15_special_settlement_massif_orcal_norsca_2
ovn_wh2_dlc15_special_settlement_massif_orcal_norsca_3	ovn_wh2_dlc15_special_settlement_massif_orcal_norsca_3
ovn_wh2_dlc15_special_settlement_tor_yvresse_norsca_1	ovn_wh2_dlc15_special_settlement_tor_yvresse_norsca_1
ovn_wh2_dlc15_special_settlement_tor_yvresse_norsca_2	ovn_wh2_dlc15_special_settlement_tor_yvresse_norsca_2
ovn_wh2_dlc15_special_settlement_tor_yvresse_norsca_3	ovn_wh2_dlc15_special_settlement_tor_yvresse_norsca_3
ovn_wh2_main_special_settlement_altdorf_norsca_1	ovn_wh2_main_special_settlement_altdorf_norsca_1
ovn_wh2_main_special_settlement_altdorf_norsca_2	ovn_wh2_main_special_settlement_altdorf_norsca_2
ovn_wh2_main_special_settlement_altdorf_norsca_3	ovn_wh2_main_special_settlement_altdorf_norsca_3
ovn_wh2_main_special_settlement_altdorf_norsca_4	ovn_wh2_main_special_settlement_altdorf_norsca_4
ovn_wh2_main_special_settlement_altdorf_norsca_5	ovn_wh2_main_special_settlement_altdorf_norsca_5
ovn_wh2_main_special_settlement_athel_loren_norsca_1	ovn_wh2_main_special_settlement_athel_loren_norsca_1
ovn_wh2_main_special_settlement_athel_loren_norsca_2	ovn_wh2_main_special_settlement_athel_loren_norsca_2
ovn_wh2_main_special_settlement_athel_loren_norsca_3	ovn_wh2_main_special_settlement_athel_loren_norsca_3
ovn_wh2_main_special_settlement_castle_drakenhof_norsca_1	ovn_wh2_main_special_settlement_castle_drakenhof_norsca_1
ovn_wh2_main_special_settlement_castle_drakenhof_norsca_2	ovn_wh2_main_special_settlement_castle_drakenhof_norsca_2
ovn_wh2_main_special_settlement_castle_drakenhof_norsca_3	ovn_wh2_main_special_settlement_castle_drakenhof_norsca_3
ovn_wh2_main_special_settlement_castle_drakenhof_norsca_4	ovn_wh2_main_special_settlement_castle_drakenhof_norsca_4
ovn_wh2_main_special_settlement_castle_drakenhof_norsca_5	ovn_wh2_main_special_settlement_castle_drakenhof_norsca_5
ovn_wh2_main_special_settlement_couronne_norsca_1	ovn_wh2_main_special_settlement_couronne_norsca_1
ovn_wh2_main_special_settlement_couronne_norsca_2	ovn_wh2_main_special_settlement_couronne_norsca_2
ovn_wh2_main_special_settlement_couronne_norsca_3	ovn_wh2_main_special_settlement_couronne_norsca_3
ovn_wh2_main_special_settlement_couronne_norsca_4	ovn_wh2_main_special_settlement_couronne_norsca_4
ovn_wh2_main_special_settlement_couronne_norsca_5	ovn_wh2_main_special_settlement_couronne_norsca_5
ovn_wh2_main_special_settlement_gaean_vale_norsca_1	ovn_wh2_main_special_settlement_gaean_vale_norsca_1
ovn_wh2_main_special_settlement_gaean_vale_norsca_2	ovn_wh2_main_special_settlement_gaean_vale_norsca_2
ovn_wh2_main_special_settlement_gaean_vale_norsca_3	ovn_wh2_main_special_settlement_gaean_vale_norsca_3
ovn_wh2_main_special_settlement_hellpit_norsca_1	ovn_wh2_main_special_settlement_hellpit_norsca_1
ovn_wh2_main_special_settlement_hellpit_norsca_2	ovn_wh2_main_special_settlement_hellpit_norsca_2
ovn_wh2_main_special_settlement_hellpit_norsca_3	ovn_wh2_main_special_settlement_hellpit_norsca_3
ovn_wh2_main_special_settlement_hellpit_norsca_4	ovn_wh2_main_special_settlement_hellpit_norsca_4
ovn_wh2_main_special_settlement_hellpit_norsca_5	ovn_wh2_main_special_settlement_hellpit_norsca_5
ovn_wh2_main_special_settlement_hexoatl_norsca_1	ovn_wh2_main_special_settlement_hexoatl_norsca_1
ovn_wh2_main_special_settlement_hexoatl_norsca_2	ovn_wh2_main_special_settlement_hexoatl_norsca_2
ovn_wh2_main_special_settlement_hexoatl_norsca_3	ovn_wh2_main_special_settlement_hexoatl_norsca_3
ovn_wh2_main_special_settlement_itza_norsca_1	ovn_wh2_main_special_settlement_itza_norsca_1
ovn_wh2_main_special_settlement_itza_norsca_2	ovn_wh2_main_special_settlement_itza_norsca_2
ovn_wh2_main_special_settlement_itza_norsca_3	ovn_wh2_main_special_settlement_itza_norsca_3
ovn_wh2_main_special_settlement_khemri_norsca_1	ovn_wh2_main_special_settlement_khemri_norsca_1
ovn_wh2_main_special_settlement_khemri_norsca_2	ovn_wh2_main_special_settlement_khemri_norsca_2
ovn_wh2_main_special_settlement_khemri_norsca_3	ovn_wh2_main_special_settlement_khemri_norsca_3
ovn_wh2_main_special_settlement_kislev_norsca_1	ovn_wh2_main_special_settlement_kislev_norsca_1
ovn_wh2_main_special_settlement_kislev_norsca_2	ovn_wh2_main_special_settlement_kislev_norsca_2
ovn_wh2_main_special_settlement_kislev_norsca_3	ovn_wh2_main_special_settlement_kislev_norsca_3
ovn_wh2_main_special_settlement_kislev_norsca_4	ovn_wh2_main_special_settlement_kislev_norsca_4
